 ,Label,Area,Mean,Min,Max,Angle,Length
1,SD,0.11,37.329,4.606,42.137,67.75,0.406
2,,13.148,96.704,46.343,123.956,180,48.446
3,Min,13.148,96.704,36,123.956,0,48.446
4,,13.44,108.793,36,155,0,49.459
5,,13.44,115.374,42.121,155.247,180,49.505
6,Mean,13.319,140.517,44.006,180.09,105,49.02
7,,13.294,171.702,49.513,217.859,90,49.009
8,,13.294,171.964,44.5,195.25,90,48.919
9,,13.294,178.566,45.559,233.227,90,48.784
10,Max,13.44,178.566,49.513,233.227,180,49.505
